鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,久大線,久留米,久留米高校前,130.501372,33.3207285,130.51709499999998,33.298384999999996,1,
九州旅客鉄道,久大線,久留米高校前,南久留米,130.51709499999998,33.298384999999996,130.532165,33.302795,1,
九州旅客鉄道,久大線,南久留米,久留米大学前,130.532165,33.302795,130.54763,33.31081,1,
九州旅客鉄道,久大線,久留米大学前,御井,130.54763,33.31081,130.56266,33.312664999999996,1,
九州旅客鉄道,久大線,御井,善導寺,130.56266,33.312664999999996,130.60874,33.320025,1,
九州旅客鉄道,久大線,善導寺,筑後草野,130.60874,33.320025,130.64218,33.322105,1,
九州旅客鉄道,久大線,筑後草野,田主丸,130.64218,33.322105,130.69245,33.3388,1,
九州旅客鉄道,久大線,田主丸,筑後吉井,130.69245,33.3388,130.752825,33.340955,1,
九州旅客鉄道,久大線,筑後吉井,うきは,130.752825,33.340955,130.78915,33.33504,1,
九州旅客鉄道,久大線,うきは,筑後大石,130.78915,33.33504,130.8169,33.347184999999996,1,
九州旅客鉄道,久大線,筑後大石,夜明,130.8169,33.347184999999996,130.866215,33.31959500000001,1,
九州旅客鉄道,久大線,夜明,光岡,130.866215,33.31959500000001,130.91992,33.327605,1,
九州旅客鉄道,久大線,光岡,日田,130.91992,33.327605,130.938135,33.317885000000004,1,
九州旅客鉄道,久大線,日田,豊後三芳,130.938135,33.317885000000004,130.951505,33.305904999999996,1,
九州旅客鉄道,久大線,豊後三芳,豊後中川,130.951505,33.305904999999996,131.005875,33.284459999999996,1,
九州旅客鉄道,久大線,豊後中川,天ヶ瀬,131.005875,33.284459999999996,131.02384,33.25485,1,
九州旅客鉄道,久大線,天ヶ瀬,杉河内,131.02384,33.25485,131.065455,33.264340000000004,1,
九州旅客鉄道,久大線,杉河内,北山田,131.065455,33.264340000000004,131.100925,33.28202,1,
九州旅客鉄道,久大線,北山田,豊後森,131.100925,33.28202,131.15569499999998,33.28255,1,
九州旅客鉄道,久大線,豊後森,恵良,131.15569499999998,33.28255,131.17442,33.25504,1,
九州旅客鉄道,久大線,恵良,引治,131.17442,33.25504,131.183975,33.228995,1,
九州旅客鉄道,久大線,引治,豊後中村,131.183975,33.228995,131.20763499999998,33.225785,1,
九州旅客鉄道,久大線,豊後中村,野矢,131.20763499999998,33.225785,131.2519,33.240385,1,
